time;video
0;0
1;345,0862239841427
2;486,13492063492066
3;575,2981056829511
4;626,974358974359
5;703,563492063492
6;716,8602576808721
7;787,6679841897234
8;874,130693069307
9;660,9126984126984
10;734,3984220907298
11;749,110447761194
12;695,0574257425743
13;785,304347826087
14;824,5243296921549
15;896,5099601593625
16;1071,2901296111665
17;1125,0822596630328
18;1181,974180734856
19;1208,5258964143427
20;1332,00790513834
21;1376,055390702275
22;1532,1829025844931
23;959,1102284011916
24;873,2988047808765
25;939,4772277227722
26;1069,4152626362736
27;898,8650793650794
28;831,7709772951629
29;916,776119402985
30;931,2619047619048
31;794,5188118811881
32;805,2465483234714
33;877,5666003976144
34;907,7661050545095
35;924,8444003964321
36;958,3936063936064
37;985,1064676616916
38;1046,1264822134387
39;1131,633466135458
40;1224,9852216748768
41;1299,7974180734857
42;1390,2601787487588
43;1488,7229394240317
44;1607,016983016983
45;1655,8406374501992
46;1801,0266535044423
47;1909,2539682539682
48;2061,6031746031745
49;2256,945812807882
50;2320,522772277228
51;1929,3940594059407
52;2011,8226600985222
53;2083,6067527308837
54;2064,978131212724
55;2087,1817279046672
56;1893,7892644135188
57;1482,429277942631
58;1390,6666666666667
59;1437,3676907829533
60;1426,111111111111
61;1053,2307692307693
62;993,1236399604352
63;1020,2021803766105
64;1120,6897918731418
65;1186,9811694747275
66;1279,968253968254
67;1368,5572139303483
68;1467,6464746772592
69;1576,0636182902585
70;1706,9494549058475
71;1916,5238095238096
72;1917,8476755687439
73;1492,1756487025948
74;1423,142857142857
75;1481,1394422310757
76;1387,515873015873
77;1539,1018793273986
78;1554,2460317460318
79;1553,8156590683845
80;1525,1699604743083
81;1602,1285855588526
82;1661,4636091724826
83;1723,4013875123885
84;1693,6246276067527
85;1698,7408142999006
86;1182,0555555555557
87;1335,515873015873
88;1099,6385302879842
89;907,1555996035679
90;703,4348258706468
91;403,782393669634
92;489,5
93;509,5548961424332
94;382,90009891196837
95;369,7742574257426
96;305,57611940298506
97;259,34645669291336
98;197,26461843409317
99;166,82423038728896
100;156,22551928783383
101;150,4584980237154
102;152,67850098619328
103;145,8851485148515
104;149,09950738916257
105;144,95143706640238
106;154,73788328387735
107;149,16666666666666
108;156,88404360753222
109;148,27408142999008
110;151,38828202581925
111;146,25173439048564
112;151,29574678536102
